yoe,salary
1.1,39387.97
1.1,39701.62
1.1,39455.16
1.0,39145.5
1.0,39757.6
1.1,39162.1
1.1,39672.26
1.2,39103.47
1.2,39619.61
1.2,39830.78
1.1,38960.81
1.1,38944.19
1.1,39170.89
1.1,39075.97
1.2,39284.36
1.1,38891.51
1.2,39015.43
1.1,39252.86
1.0,39776.5
1.2,39678.93
1.2,39421.66
1.2,38935.74
1.2,38863.2
1.1,39571.54
1.2,39418.41
1.2,39128.46
1.1,39366.5
1.0,38960.22
1.1,38937.92
1.1,38970.09
1.1,38864.88
1.0,39481.03
1.0,39147.1
1.0,39070.84
1.1,39495.8
1.2,39025.75
1.2,39027.87
1.1,39210.17
1.2,39696.02
1.1,39600.97
1.1,38915.44
1.1,39708.48
1.2,39479.04
1.2,39061.7
1.1,39518.43
1.2,39410.05
1.2,39287.92
1.1,39239.29
1.2,39814.31
1.0,39260.53
1.2,39610.76
1.0,39088.65
1.2,39099.48
1.1,39667.88
1.2,39644.04
1.2,39749.72
1.2,39195.38
1.1,39504.24
1.1,39642.97
1.0,39695.8
1.1,39642.03
1.1,39277.64
1.2,38972.47
1.1,39159.6
1.0,39310.32
1.0,39026.49
1.2,39053.81
1.1,39174.1
1.0,39606.72
1.0,39296.4
1.1,39229.85
1.1,39775.72
1.1,39714.07
1.0,39430.58
1.1,39196.93
1.2,39534.88
1.1,38946.88
1.1,39295.37
1.1,38910.21
1.1,39829.92
1.2,39078.68
1.1,39057.48
1.0,39610.19
1.2,39396.26
1.2,39613.01
1.1,39262.86
1.0,39221.48
1.0,39364.47
1.1,38898.58
1.2,39394.63
1.1,39312.93
1.2,39509.35
1.2,39416.78
1.0,39244.28
1.0,39089.75
1.1,39169.8
1.2,39638.41
1.1,39510.26
1.2,39489.27
1.2,39030.63
1.1,39512.69
1.0,39229.72
1.2,39741.2
1.2,39051.0
1.0,39069.18
1.1,39125.3
1.1,39709.54
1.2,39102.86
1.2,39144.27
1.0,39457.72
1.0,39702.69
1.1,39592.41
1.1,38936.41
1.1,39672.46
1.1,39797.19
1.2,39158.0
1.0,39481.09
1.2,39522.61
1.2,39374.31
1.1,38870.11
1.2,39511.94
